,0,1,2,3,4
0,1,12266328902,7776054207,0.57,0.60253
1,2,11449235636,7673592031,0.57,53.290000090058
2,3,15670586677,7901459906,0.57,92.50726160858669
3,4,10303971946,7347310824,0.57,43.39009651990525
4,5,13363191769,8060085487,0.57,71.08260516212466
5,6,11459626844,7673105360,0.57,53.36663589077075
6,7,13331372735,8017738607,0.57,70.57514860781427
7,8,10927455147,7576549411,0.57,48.920570231197566
8,9,11933465716,7789514205,0.57,57.645483840890435
9,10,13347465976,8020319045,0.57,70.7315132324012
