,0,1,2,3,4
0,1,12865509692,7908682675,0.57,0.33755
1,2,10443892329,7458112651,0.57,16.70388961758875
2,3,9987547536,7351794298,0.96,-15.947599548233843
3,4,11454643824,7675092461,0.57,23.390029967761233
4,5,11489564690,7667944553,0.57,23.632062696822203
5,6,9501680961,7234145063,0.98,-20.748005559964366
6,7,12848767269,7900229506,0.57,33.62495051424496
7,8,8520272108,6998359944,0.73,-4.715792275343561
8,9,9008786092,7108788328,0.98,-23.504059327212577
9,10,9962427811,7323373531,0.57,13.736018794398387
