,0,1,2,3,4
0,1,8994912357,7086590175,0.93,-0.8649000000000001
1,2,11464661108,7675671821,0.57,-32.489999999999995
2,3,11429714899,7693862884,0.57,-32.489999999999995
3,4,12079087157,7798595922,0.57,-32.489999999999995
4,5,9097705087,7107000935,0.91,-82.81
5,6,11607209822,7673710429,0.57,-32.489999999999995
6,7,12049180558,7676987714,0.57,-32.489999999999995
7,8,9760763307,7237305173,0.57,-32.489999999999995
8,9,12288216977,7797277476,0.57,-32.489999999999995
9,10,9515142610,6997566291,1.0,-100.0
