,0,1,2,3,4
0,1,13827548924,7776422083,0.57,0.40379500000000007
1,2,11985862455,7780397725,0.57,39.1874382488193
2,3,13937532126,8030932463,0.57,43.78575992624334
3,4,11945531756,7786866534,0.57,39.24546062494368
4,5,10918974741,7577744844,0.57,35.97503434401993
5,6,13374176031,8016873550,0.57,43.19686053506738
6,7,9081718684,7082442122,0.57,29.010376566401693
7,8,9955770185,7347454298,0.57,32.607350246511395
8,9,12847653534,7905052935,0.57,41.363749134692924
9,10,12884187327,7922229402,0.57,41.61310903296092
